orig, dest, cnt
chn_49_22_gadm2-8,bra_33_24_gadm2-8,2
chn_49_22_gadm2-8,chn_49_2_gadm2-8,26048
chn_49_24_gadm2-8,gbr_242_2_gadm2-8,16
chn_49_24_gadm2-8,rus_188_66_gadm2-8,18
chn_49_26_gadm2-8,can_42_4_gadm2-8,3
chn_49_27_gadm2-8,nzl_160_3_gadm2-8,19
chn_49_28_gadm2-8,can_42_12_gadm2-8,2
chn_49_28_gadm2-8,geo_85_12_gadm2-8,73
chn_49_29_gadm2-8,chn_49_15_gadm2-8,261
chn_49_2_gadm2-8,can_42_12_gadm2-8,65
chn_49_2_gadm2-8,fji_77_5_gadm2-8,67
chn_49_2_gadm2-8,lao_123_13_gadm2-8,198
chn_49_2_gadm2-8,phl_179_49_gadm2-8,25
chn_49_2_gadm2-8,uzb_246_3_gadm2-8,1
chn_49_2_gadm2-8,xnc_167_5_gadm2-8,13
chn_49_30_gadm2-8,jpn_114_33_gadm2-8,376
chn_49_31_gadm2-8,jpn_114_43_gadm2-8,2
chn_49_3_gadm2-8,sdn_218_7_gadm2-8,6
chn_49_4_gadm2-8,chn_49_31_gadm2-8,12983
chn_49_4_gadm2-8,pry_177_5_gadm2-8,0
chn_49_5_gadm2-8,lao_123_13_gadm2-8,59
chn_49_6_gadm2-8,mar_152_3_gadm2-8,1
chn_49_6_gadm2-8,mmr_154_8_gadm2-8,159
chn_49_6_gadm2-8,sau_200_11_gadm2-8,418
chn_49_6_gadm2-8,usa_244_44_gadm2-8,147
chn_49_7_gadm2-8,chn_49_23_gadm2-8,6755
chn_49_7_gadm2-8,ita_112_15_gadm2-8,2
chn_49_9_gadm2-8,bhr_19_5_gadm2-8,6
civ_57_1_gadm2-8,deu_86_2_gadm2-8,53
civ_57_1_gadm2-8,ita_112_9_gadm2-8,5
civ_57_6_gadm2-8,rwa_189_5_gadm2-8,2
cmr_41_2_gadm2-8,lbr_127_9_gadm2-8,3
cmr_41_5_gadm2-8,che_223_8_gadm2-8,42
cmr_41_5_gadm2-8,mne_150_18_gadm2-8,1
cmr_41_5_gadm2-8,tha_228_3_gadm2-8,14
cmr_41_5_gadm2-8,usa_244_42_gadm2-8,0
cod_63_7_gadm2-8,moz_153_7_gadm2-8,9
cog_185_2_gadm2-8,cmr_41_5_gadm2-8,220
cok_55_gadm2-8,usa_244_3_gadm2-8,4
col_53_12_gadm2-8,ury_245_10_gadm2-8,4
col_53_13_gadm2-8,col_53_24_gadm2-8,4
col_53_14_gadm2-8,nzl_160_6_gadm2-8,1
col_53_17_gadm2-8,usa_244_34_gadm2-8,0
col_53_21_gadm2-8,col_53_18_gadm2-8,10
col_53_26_gadm2-8,arg_12_2_gadm2-8,50
col_53_2_gadm2-8,bra_33_13_gadm2-8,13
col_53_2_gadm2-8,mex_145_5_gadm2-8,6
col_53_2_gadm2-8,tur_235_17_gadm2-8,0
col_53_2_gadm2-8,usa_244_1_gadm2-8,1
col_53_2_gadm2-8,usa_244_31_gadm2-8,170
col_53_30_gadm2-8,aze_17_1_gadm2-8,0
col_53_30_gadm2-8,bra_33_2_gadm2-8,10
col_53_4_gadm2-8,pry_177_5_gadm2-8,12
col_53_4_gadm2-8,tur_235_57_gadm2-8,0
col_53_4_gadm2-8,usa_244_21_gadm2-8,16
col_53_5_gadm2-8,usa_244_30_gadm2-8,0
col_53_7_gadm2-8,col_53_17_gadm2-8,36
col_53_7_gadm2-8,esp_215_6_gadm2-8,15
col_53_9_gadm2-8,col_53_9_gadm2-8,24
com_54_1_gadm2-8,com_54_3_gadm2-8,31
cpv_43_7_gadm2-8,nld_158_9_gadm2-8,83
cri_56_3_gadm2-8,can_42_4_gadm2-8,8
cri_56_3_gadm2-8,usa_244_22_gadm2-8,209
cri_56_6_gadm2-8,cri_56_6_gadm2-8,467
cri_56_7_gadm2-8,nor_169_7_gadm2-8,8
cub_59_11_gadm2-8,bel_23_1_gadm2-8,377
cub_59_16_gadm2-8,deu_86_7_gadm2-8,4
cub_59_1_gadm2-8,ury_245_10_gadm2-8,4
cub_59_1_gadm2-8,usa_244_39_gadm2-8,1
cub_59_4_gadm2-8,bol_28_4_gadm2-8,39
cub_59_4_gadm2-8,chn_49_4_gadm2-8,3
cub_59_4_gadm2-8,fra_79_16_gadm2-8,76
